[RPC] keys:{"jsonrpc":"2.0","method":"vidbit.keys","id":4,"params":{"text":"\n"}}}
[RX] line:{"jsonrpc":"2.0","result":"
[RX] line:","id":4}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 ff W 1 654b"},"id":200001}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 ff W 1 65b6"},"id":200002}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 00 R 1 667e"},"id":200003}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 66e2"},"id":200004}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0807 4c R 1 e82e"},"id":200005}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0c07 4c R 1 ec7a"},"id":200006}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0807 4c R 1 ed42"},"id":200007}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0c07 4c R 1 eda6"},"id":200008}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0c0b 4c R 1 ee0a"},"id":200009}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ee6e"},"id":200010}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0c0b 4c R 1 10ce"},"id":200011}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0807 4c R 1 13ee"},"id":200012}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0c07 4c R 1 19ca"},"id":200013}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0807 4c R 1 1af6"},"id":200014}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5958 59 R 1 24ba"},"id":200015}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5957 59 R 1 0ace"},"id":200016}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5958 59 R 1 0b32"},"id":200017}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5950 59 R 1 34fe"},"id":200018}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5957 59 R 1 3562"},"id":200019}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5917 59 R 1 5376"},"id":200020}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5958 59 R 1 543e"},"id":200021}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5858 59 R 1 556a"},"id":200022}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5957 59 R 1 55ce"},"id":200023}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5858 59 R 1 5632"},"id":200024}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5957 59 R 1 5696"},"id":200025}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"5857 59 R 1 56fa"},"id":200026}
