C:\nitrologic\romulon>rpc
rpccoms 0.3.2 looking for "USB\VID_2E8A"
 HWND:722580
[RPC] echoing COM6 handle:0x138 path:USB\VID_2E8A&PID_000A&MI_00\8&D547ADD&0&0000
[RPC] ignoring {port:COM1,path:ACPI\PNP0501\0,info:Communications Port (COM1)}
[thread] starting reader for COM6
[TX] setRTC:{"jsonrpc":"2.0","method":"rtc.set","id":2,"params":{"time":1788529577}}
[TX] info:{"jsonrpc":"2.0","method":"vidbit.info","id":1}
[RX] line:{"jsonrpc":"2.0","result":{"status&3 panic":"2"},"id":266415}
[RX] line:{"jsonrpc":"2.0","result":"setTime to 1788529577","id":2}
[RX] line:{"jsonrpc":"2.0","result":"vidbit.set title  about VIDBIT RPC 0.3.2","id":3}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"2000 00 W 0 09f3"},"id":266416}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"6000 00 W 0 8020"},"id":266417}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"e000 00 W 0 5ddf"},"id":266418}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"c000 00 W 0 3fd3"},"id":266419}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4000 00 W 0 b004"},"id":266420}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"f000 00 R 0 ffff"},"id":266421}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"e000 00 R 0 768a"},"id":266422}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"a000 00 R 0 ffe6"},"id":266423}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"2000 00 R 0 ffdc"},"id":266424}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"2000 00 W 0 ffd2"},"id":266425}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 00 W 0 fff5"},"id":266426}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 02 W 0 e890"},"id":266427}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 03 W 0 fff9"},"id":266428}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 07 W 0 fff2"},"id":266429}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 0f W 0 ffec"},"id":266430}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 8f W 0 fff2"},"id":266431}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 af W 0 fffa"},"id":266432}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 ef W 0 ffe7"},"id":266433}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 ff W 0 fffa"},"id":266434}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 ff W 1 fea2"},"id":266435}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 00 W 1 cd5e"},"id":266436}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"0000 00 R 1 ffa7"},"id":266437}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"00ff 00 R 1 ffd7"},"id":266438}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"00ff ff R 1 fffe"},"id":266439}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"ffff ff R 1 ffee"},"id":266440}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"ffff fe R 1 fffe"},"id":266441}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"fefe fe R 1 ffed"},"id":266442}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"fefe 4e R 1 ffff"},"id":266443}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"fefe 4c R 1 ffff"},"id":266444}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4cfd 4c R 1 ffef"},"id":266445}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffeb"},"id":266446}
